country,sex,suicides_no_x,suicide_percentage
Panama,female,512,14.70%
Panama,male,2971,85.30%
Paraguay,female,1457,30.46%
Paraguay,male,3326,69.54%
Philippines,female,5273,24.72%
Philippines,male,16057,75.28%
Poland,female,21063,15.14%
Poland,male,118035,84.86%
Portugal,female,5874,24.41%
Portugal,male,18187,75.59%
Puerto Rico,female,1054,11.66%
Puerto Rico,male,7989,88.34%
Qatar,female,50,8.71%
Qatar,male,524,91.29%
Republic of Korea,female,82615,31.56%
Republic of Korea,male,179115,68.44%
Romania,female,13182,18.11%
Romania,male,59595,81.89%
Russian Federation,female,214330,17.72%
Russian Federation,male,995412,82.28%
Saint Kitts and Nevis,female,0,nan%
Saint Kitts and Nevis,male,0,nan%
Saint Lucia,female,34,14.78%
Saint Lucia,male,196,85.22%
Saint Vincent and Grenadines,female,11,8.87%
Saint Vincent and Grenadines,male,113,91.13%
San Marino,female,0,0.00%
San Marino,male,4,100.00%
Serbia,female,6763,27.97%
Serbia,male,17416,72.03%
Seychelles,female,9,9.18%
Seychelles,male,89,90.82%
Singapore,female,3793,37.60%
Singapore,male,6296,62.40%
Slovakia,female,2024,15.06%
Slovakia,male,11413,84.94%
Slovenia,female,2302,21.69%
Slovenia,male,8313,78.31%
South Africa,female,1602,21.88%
South Africa,male,5719,78.12%
Spain,female,24669,24.62%
Spain,male,75533,75.38%
Sri Lanka,female,13598,24.44%
Sri Lanka,male,42043,75.56%
Suriname,female,568,26.22%
Suriname,male,1598,73.78%
Sweden,female,11183,29.59%
Sweden,male,26612,70.41%
Switzerland,female,7739,29.52%
Switzerland,male,18478,70.48%
Thailand,female,28101,25.40%
Thailand,male,82542,74.60%
Trinidad and Tobago,female,820,20.30%
Trinidad and Tobago,male,3219,79.70%
Turkey,female,2569,25.36%
Turkey,male,7562,74.64%
Turkmenistan,female,2096,24.30%
Turkmenistan,male,6528,75.70%
Ukraine,female,61377,19.18%
Ukraine,male,258573,80.82%
United Arab Emirates,female,98,15.76%
United Arab Emirates,male,524,84.24%
United Kingdom,female,32687,23.89%
United Kingdom,male,104118,76.11%
United States,female,213797,20.68%
United States,male,820216,79.32%
Uruguay,female,2820,21.46%
Uruguay,male,10318,78.54%
Uzbekistan,female,9260,26.61%
Uzbekistan,male,25543,73.39%
